Using device: cuda
Epoch 109/200, Loss: 0.0033705424783485277, Acc: 0.797457890851157, MSE: 0.00674108462408185, MAE: 0.06351495480963162
Epoch 110/200, Loss: 0.0031397681616778883, Acc: 0.8176450729370117, MSE: 0.0062795365229249, MAE: 0.060892930520432334
Epoch 111/200, Loss: 0.003196687936516745, Acc: 0.8136763232094901, MSE: 0.0063933758065104485, MAE: 0.06147997347371919
Epoch 112/200, Loss: 0.0034155657049268484, Acc: 0.7967695678983416, MSE: 0.0068311312102845734, MAE: 0.06370219588279724
Epoch 113/200, Loss: 0.0032479520554521252, Acc: 0.8123523933546883, MSE: 0.00649590404438121, MAE: 0.061714990862778256
Epoch 114/200, Loss: 0.0031976145692169666, Acc: 0.8116896833692279, MSE: 0.006395229071910892, MAE: 0.061624684504100254
Epoch 115/200, Loss: 0.0032997543790510724, Acc: 0.8074919922011239, MSE: 0.00659950849200998, MAE: 0.062221952847072055
Epoch 116/200, Loss: 0.003215931189645614, Acc: 0.8156915647642953, MSE: 0.00643186251233731, MAE: 0.06150352156588009
Epoch 117/200, Loss: 0.003380504536575505, Acc: 0.8015034539358956, MSE: 0.00676100907315101, MAE: 0.06298769531505448
Epoch 118/200, Loss: 0.0033871914659227642, Acc: 0.7995002610342843, MSE: 0.0067743827987994465, MAE: 0.06353640609553882
Epoch 119/200, Loss: 0.0033121586976838963, Acc: 0.8091216598238263, MSE: 0.006624317461890834, MAE: 0.062340094042675834
Epoch 120/200, Loss: 0.003082177136093378, Acc: 0.8172278659684318, MSE: 0.006164354272186756, MAE: 0.060492969517196925
Epoch 121/200, Loss: 0.0030398097088826554, Acc: 0.8240282109805516, MSE: 0.006079619284719229, MAE: 0.059944910130330493
Epoch 122/200, Loss: 0.0032005367933639456, Acc: 0.8095629811286926, MSE: 0.006401073453681809, MAE: 0.06182492524385452
Epoch 123/200, Loss: 0.003150793757023556, Acc: 0.8184885212353298, MSE: 0.006301587647093194, MAE: 0.06077553757599422
Epoch 124/200, Loss: 0.003167781014261501, Acc: 0.8130753466061184, MSE: 0.0063355618289538795, MAE: 0.06134219893387386
Epoch 125/200, Loss: 0.0031669340429029296, Acc: 0.8170049445969718, MSE: 0.006333868019282818, MAE: 0.060991644327129634
Epoch 126/200, Loss: 0.003221670198919518, Acc: 0.811392971447536, MSE: 0.006443340331315994, MAE: 0.061687953770160675
Epoch 127/200, Loss: 0.0031870070046612193, Acc: 0.8102573156356812, MSE: 0.0063740140093224385, MAE: 0.06177114535655294
Epoch 128/200, Loss: 0.003173160765852247, Acc: 0.8106609668050494, MSE: 0.00634632193084274, MAE: 0.061498772352933884
Epoch 129/200, Loss: 0.003187947440892458, Acc: 0.813983576638358, MSE: 0.006375894881784916, MAE: 0.06130345431821687
Epoch 130/200, Loss: 0.0031926938598709448, Acc: 0.813114515372685, MSE: 0.006385387520172766, MAE: 0.06144970655441284
Epoch 131/200, Loss: 0.003030416023518358, Acc: 0.8229603511946542, MSE: 0.006060832047036716, MAE: 0.0601519729409899
Epoch 132/200, Loss: 0.002925712016544172, Acc: 0.830430941922324, MSE: 0.005851424099611384, MAE: 0.0589300271655832
Epoch 133/200, Loss: 0.0029854081305009978, Acc: 0.8263703073774066, MSE: 0.0059708162610019955, MAE: 0.059436759778431485
Epoch 134/200, Loss: 0.0031800574423479183, Acc: 0.8125225901603699, MSE: 0.0063601151507880005, MAE: 0.061406838574579785
Epoch 135/200, Loss: 0.003023533250338265, Acc: 0.8239800163677761, MSE: 0.006047066234584365, MAE: 0.060015524604490826
Epoch 136/200, Loss: 0.0029009083685066018, Acc: 0.8301824416433062, MSE: 0.0058018166039671215, MAE: 0.058710554880755286
